Year,Mo,Dy,Tsu,Eq,Name,Location,Country,latitude,longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,date
2018,1,23,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,1,T,1,1,,,11,1,,1,,,1,1,,,11,1,,1,,,1/23/2018
2018,2,1,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,G,1,1,,,3,1,,,,,1,1,,,3,1,,,,,2/1/2018
2018,2,9,5676,,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,2,W,,,,,,,,,,,,,,,,,,,,,2/9/2018
2018,3,21,,,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,G,,,,,30,1,,,,,,,,,30,1,,,,,3/21/2018
2018,3,30,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,3,"T,G,M",4,1,,,,,,2,,1,4,1,,,,,,2,,1,3/30/2018
2018,4,28,5678,10332,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,L,,,,,1,1,370,4,716,3,,,,,1,1,370,4,716,3,4/28/2018
2018,5,6,5796,10556,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,,5/6/2018
2018,6,3,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,P,201,3,229,3,27,1,120,4,186,3,201,3,229,3,27,1,120,4,186,3,6/3/2018
2018,7,16,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,T,,,,,23,1,1,1,,,,,,,23,1,1,1,,,7/16/2018
2018,8,25,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,"L,T",,,,,,,,3,164,3,,,,,,,,3,164,3,8/25/2018
2018,12,15,,10382,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2,"S,T,G",,,,,,,,2,,1,,,,,,,,2,,1,12/15/2018
2018,12,22,5699,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,3,W,,,,,,,,,,,437,3,10,1,31943,4,250,4,2844,4,12/22/2018
2018,12,26,,10383,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2,S,,,,,,,,,,,,,,,28,1,115,4,15,1,12/26/2018
2019,1,7,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T,,,,,,,,1,,,,,,,,,,1,,,1/7/2019
